id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
769137108,1,43,F,2,doutorado,casado,menos que $40K,blue,37,3,1,3,1438.57,974.45,28
717640083,1,59,M,1,ensino medio,casado,$60K - $80K,blue,36,3,3,2,6705.54,731.33,18
794977533,1,62,M,0,ensino medio,casado,$60K - $80K,blue,56,3,2,3,8077.58,906.24,16
752604633,1,57,M,2,graduacao,casado,$40K - $60K,blue,50,2,3,5,6462.33,761.95,17
711242058,1,48,M,4,na,solteiro,$80K - $120K,blue,36,1,1,3,11862.19,643.07,16
718121658,1,56,M,1,graduacao,casado,$60K - $80K,blue,44,5,3,3,1704.28,660.12,17
711593808,1,55,M,1,ensino medio,casado,$60K - $80K,blue,46,2,3,2,1438.26,888.13,18
718731183,1,61,M,1,na,casado,$40K - $60K,blue,49,1,2,2,5472.36,705.29,14
713865333,1,45,F,4,sem educacao formal,casado,menos que $40K,blue,38,3,3,4,4908.17,827.15,21
797707008,1,44,F,3,doutorado,casado,menos que $40K,blue,38,6,3,1,7222.18,920.76,18
720370533,1,55,M,3,sem educacao formal,casado,$60K - $80K,blue,44,3,2,2,2323.81,804.55,15
718675158,1,55,F,1,na,casado,menos que $40K,blue,36,4,3,1,1438.99,850.04,22
720605808,1,53,F,1,mestrado,solteiro,menos que $40K,blue,36,2,3,2,1438.29,799.32,17
770724558,1,42,M,2,graduacao,casado,$60K - $80K,blue,28,6,3,1,7340.58,838.57,24
719309958,1,55,M,3,doutorado,solteiro,$80K - $120K,blue,35,4,3,1,20865.47,837.79,25
808897683,1,53,M,1,mestrado,solteiro,$80K - $120K,blue,48,3,3,3,30271.39,3231.76,47
718939083,1,54,F,2,mestrado,casado,menos que $40K,blue,45,3,3,1,1438.81,694.56,15
712979133,1,55,M,4,ensino medio,casado,$80K - $120K,blue,41,2,2,2,27560.22,646.39,10
720071583,1,48,F,2,na,casado,menos que $40K,blue,36,5,3,1,7151.64,854.93,22
812420358,1,61,F,0,mestrado,casado,menos que $40K,blue,56,3,3,3,2122.22,949.3,17
798792408,1,48,M,3,ensino medio,casado,$80K - $120K,blue,42,1,3,1,9959.64,805.47,24
711204483,1,56,M,4,ensino medio,casado,$60K - $80K,blue,46,3,3,3,2340.29,781.48,15
713945883,1,62,F,2,mestrado,casado,menos que $40K,blue,52,4,2,2,2490.25,864.95,20
789513858,1,43,M,3,na,casado,$40K - $60K,blue,35,2,3,2,1438.53,891.81,28
771963708,1,56,M,3,na,casado,$60K - $80K,blue,45,5,2,3,12248.19,767.66,25
712433508,1,59,F,1,na,casado,na,blue,50,3,3,2,1438.92,724.37,16
778506633,1,43,F,4,graduacao,casado,menos que $40K,blue,23,6,3,2,7706.53,965.72,27
713530833,1,58,M,2,mestrado,casado,$40K - $60K,blue,48,2,3,3,4085.97,596.38,15
778699908,1,43,M,2,sem educacao formal,casado,$60K - $80K,blue,24,2,3,3,14447.33,915.88,29
716991933,1,53,F,3,sem educacao formal,solteiro,menos que $40K,blue,35,6,1,3,9786.48,820.19,25
802002858,1,62,F,1,ensino medio,casado,na,blue,56,2,2,1,8990.25,747.49,19
712373208,1,43,M,3,doutorado,solteiro,$60K - $80K,blue,35,3,2,3,3312.82,647.94,19
708455883,1,57,M,1,mestrado,solteiro,$80K - $120K,blue,36,2,2,3,10244.3,1127.79,29
763895958,1,53,M,2,ensino medio,casado,$120K +,blue,46,4,1,3,7474.19,732.88,21
711927108,1,54,M,3,ensino medio,casado,$80K - $120K,blue,36,2,4,3,9457.17,1196.4,28
711147483,1,46,F,3,mestrado,solteiro,menos que $40K,blue,28,2,3,2,8551.53,1097.06,32
720990183,1,54,M,5,ensino medio,casado,$60K - $80K,blue,36,5,3,2,14539.96,965.7,26
716608608,1,41,M,2,sem educacao formal,casado,$80K - $120K,blue,33,5,3,3,8004.11,1084.7,32
788673708,1,57,F,2,ensino medio,casado,$40K - $60K,blue,45,2,3,1,1438.45,1254.68,35
816600933,1,56,M,0,graduacao,casado,$80K - $120K,blue,51,3,3,2,14501.66,1031.48,25
714208533,1,43,M,3,ensino medio,casado,$60K - $80K,blue,36,1,3,3,8663.4,916.04,33
720426708,1,56,M,3,ensino medio,solteiro,$60K - $80K,blue,45,2,3,1,8512.67,811.43,27
708983658,1,51,M,2,sem educacao formal,solteiro,$120K +,blue,39,3,1,3,16868.99,940.96,25
778663458,1,65,M,1,ensino medio,casado,menos que $40K,blue,47,3,1,2,1759.11,821.3,18
716024808,1,57,M,1,mestrado,casado,$80K - $120K,blue,36,3,3,3,4829.9,938.83,21
721249158,1,42,M,2,sem educacao formal,solteiro,$60K - $80K,blue,30,2,3,2,6414.81,708.53,14
713845083,1,41,F,4,ensino medio,solteiro,menos que $40K,blue,36,6,3,2,4203.33,1489.35,43
813499458,1,45,M,5,ensino medio,na,$60K - $80K,blue,40,3,1,3,1438.72,2132.35,31
712240083,1,38,F,3,na,solteiro,menos que $40K,blue,30,6,2,2,3730.45,858.77,22
772532208,1,51,F,2,doutorado,casado,menos que $40K,blue,41,2,3,2,6630.97,842.92,24
778929783,1,40,M,3,mestrado,divorciado,$80K - $120K,blue,22,2,3,2,1925.59,781.27,28
713053383,1,42,M,3,mestrado,casado,$80K - $120K,blue,36,1,3,1,34516.5,853.49,12
803595858,1,56,F,3,ensino medio,casado,$40K - $60K,blue,51,5,1,2,1438.91,594.41,14
710754933,1,61,F,0,mestrado,casado,menos que $40K,blue,49,6,3,2,1438.14,840.38,20
720007383,1,41,F,2,na,solteiro,na,blue,28,2,3,1,4411.05,803.78,15
718362783,1,35,M,2,mestrado,casado,$80K - $120K,blue,27,3,3,2,12643.4,787.64,21
708856983,1,36,M,3,doutorado,casado,$120K +,blue,27,2,2,1,13873.74,694.26,18
709961958,1,58,F,4,ensino medio,divorciado,na,blue,45,4,1,1,21066,1060.73,32
717412608,1,38,F,2,ensino medio,casado,$40K - $60K,blue,28,3,2,2,7225.61,738.47,16
712120608,1,35,M,3,graduacao,casado,$80K - $120K,blue,27,3,3,2,3575.44,861.45,15
710899833,1,36,M,2,mestrado,casado,$40K - $60K,blue,18,3,3,1,7758.21,569.87,23
739594758,1,51,F,2,mestrado,solteiro,menos que $40K,blue,44,6,2,3,3181.84,818.87,16
714078558,1,62,F,1,ensino medio,casado,$40K - $60K,blue,53,2,1,1,5249.39,1315.92,31
779216358,1,48,M,2,graduacao,casado,$80K - $120K,blue,38,2,3,2,2111.64,773.25,17
712924383,1,55,M,3,na,solteiro,$60K - $80K,blue,36,3,2,2,8411.79,990.51,22
714983283,1,39,F,3,ensino medio,solteiro,menos que $40K,blue,36,6,3,1,3651.17,862.3,19
710406633,1,51,F,3,sem educacao formal,casado,na,blue,36,3,2,3,3664.46,1168.03,31
709991883,1,53,M,1,mestrado,casado,$80K - $120K,blue,42,2,2,1,6214.55,938.99,35
809951133,1,54,M,3,graduacao,solteiro,$120K +,blue,49,3,3,2,34516.27,2115.23,24
720141408,1,49,F,2,mestrado,solteiro,menos que $40K,blue,31,5,2,1,5456.89,1096.29,27
768490458,1,49,M,2,sem educacao formal,casado,$80K - $120K,blue,43,1,3,3,5701.5,961.13,32
712196508,1,46,F,3,ensino medio,solteiro,na,blue,34,4,3,3,29543.1,1015.03,27
711159108,1,58,F,0,ensino medio,casado,menos que $40K,blue,36,3,2,2,7418.52,911.01,26
713206683,1,40,M,4,mestrado,solteiro,$80K - $120K,silver,22,3,3,1,34516.01,1028.94,26
778388358,1,56,M,3,mestrado,solteiro,$60K - $80K,blue,36,2,3,2,4742.58,870.54,24
779722308,1,45,F,3,ensino medio,casado,$40K - $60K,blue,30,5,2,2,12355.2,1044.78,28
713823033,1,31,F,2,na,casado,na,blue,20,3,2,1,8149.77,808.21,30
787515333,1,40,M,3,sem educacao formal,casado,$80K - $120K,blue,29,3,3,2,3616.38,820.32,21
710819733,1,56,M,3,mestrado,casado,$120K +,blue,36,5,1,1,12211.19,903.31,29
818375733,1,51,F,2,graduacao,casado,$40K - $60K,blue,46,3,3,1,4882.12,1544.54,44
709707033,1,45,M,3,mestrado,solteiro,$60K - $80K,blue,32,2,2,3,13162,1424.3,38
721178583,1,37,F,3,mestrado,na,na,blue,22,2,2,3,5674.66,1096.12,29
771544533,1,42,F,5,ensino medio,casado,na,blue,30,3,4,1,3578.09,1015.84,36
708927108,1,53,M,2,mestrado,casado,$120K +,blue,36,1,2,3,12778.67,1133.98,28
711772008,1,35,F,3,mestrado,solteiro,menos que $40K,blue,22,1,1,2,1890.92,1484,36
708799983,1,40,M,1,doutorado,casado,$60K - $80K,blue,36,6,4,3,18386.78,1698.03,43
718418958,1,30,M,1,doutorado,divorciado,menos que $40K,blue,36,6,4,2,5061.81,1309.5,38
821179233,1,50,F,1,doutorado,solteiro,$40K - $60K,blue,46,1,3,3,1493.82,1554.37,43
813752433,1,43,F,3,mestrado,solteiro,menos que $40K,blue,38,5,4,2,4075.5,2449.43,27
708083283,1,58,M,0,na,solteiro,$40K - $60K,blue,45,3,3,1,3421.03,992.47,21
806407308,1,54,F,3,graduacao,solteiro,na,blue,49,6,3,2,13184.39,2047.31,33
758583708,1,37,F,3,mestrado,solteiro,menos que $40K,blue,24,2,4,1,2802.07,1406.69,28
721003008,1,36,F,4,mestrado,casado,menos que $40K,blue,24,3,2,2,3261.45,856.21,18
778708533,1,26,F,0,ensino medio,solteiro,$40K - $60K,blue,13,2,4,2,1730.81,869.43,27
720122808,1,52,M,2,ensino medio,casado,$60K - $80K,silver,35,4,3,4,33180.91,797.73,14
713259858,1,26,M,0,ensino medio,solteiro,$40K - $60K,blue,15,3,3,1,3324.61,982.3,22
716053083,1,33,M,2,mestrado,casado,$120K +,blue,21,2,4,2,27992.96,837.22,18
709537683,1,37,M,3,graduacao,casado,$80K - $120K,blue,30,3,3,4,11638.32,563.93,15
790145733,1,40,M,3,graduacao,solteiro,$80K - $120K,silver,33,1,4,3,34516.73,1112.87,26
711509658,1,61,M,2,mestrado,casado,$120K +,blue,49,3,4,0,11374.25,1088.96,26
719818983,1,39,M,1,graduacao,divorciado,$80K - $120K,blue,28,1,4,3,12464.13,1195.86,35
804668658,1,26,F,0,sem educacao formal,solteiro,menos que $40K,blue,20,3,4,2,1438.45,947.06,20
720610008,1,59,M,1,graduacao,casado,$120K +,blue,50,1,4,5,15796.11,1339.9,23
771028533,1,48,F,3,doutorado,casado,menos que $40K,silver,35,5,3,1,10357.97,911.09,25
819610908,1,38,M,2,sem educacao formal,solteiro,$80K - $120K,blue,33,1,4,4,32938.39,1137,26
816013383,1,65,F,0,mestrado,divorciado,menos que $40K,blue,56,3,3,6,6184.02,1712.6,27
808273533,1,39,M,2,ensino medio,solteiro,$60K - $80K,blue,34,3,3,4,1818.6,2054.43,55
785011383,1,36,F,0,sem educacao formal,divorciado,$40K - $60K,blue,30,1,4,3,2190.99,1412.18,38
716382708,1,46,F,2,mestrado,solteiro,menos que $40K,blue,36,3,3,4,8309.29,1165.03,35
711224733,1,32,M,0,ensino medio,casado,$120K +,blue,27,3,4,3,22382.75,695.31,10
791856033,1,45,M,2,graduacao,divorciado,$80K - $120K,blue,39,3,4,4,34516.73,1041.56,27
716448783,1,48,F,3,mestrado,casado,$40K - $60K,blue,39,2,3,4,6235.65,1225.43,34
708892833,1,37,M,2,mestrado,casado,$120K +,blue,30,2,4,4,13662.61,725.03,22
719318583,1,37,M,3,ensino medio,casado,menos que $40K,blue,26,3,4,3,6866.7,862.91,13
720504633,1,46,M,2,sem educacao formal,na,$60K - $80K,blue,32,6,3,2,3254.13,967.76,24
711357858,1,47,F,3,mestrado,solteiro,menos que $40K,blue,36,5,4,3,7246.31,777.75,13
711816108,1,40,M,3,ensino medio,solteiro,$80K - $120K,blue,29,2,4,2,18563.58,2395.68,45
713663508,1,58,M,0,ensino medio,na,$40K - $60K,blue,42,3,3,2,1438.31,1088.65,22
789777408,1,26,F,0,doutorado,solteiro,menos que $40K,blue,15,3,3,2,1442.04,1134.53,26
718577958,1,39,M,2,sem educacao formal,casado,$120K +,blue,26,2,4,3,8907,809.53,15
717664008,1,37,M,3,graduacao,casado,$60K - $80K,blue,19,2,4,3,3100.72,694.36,12
711562833,1,35,M,4,mestrado,casado,$80K - $120K,blue,24,6,4,3,12634.76,717.88,18
720181758,1,37,M,0,doutorado,casado,$120K +,blue,22,3,4,3,8654.1,850.96,18
720427683,1,58,M,2,sem educacao formal,solteiro,$120K +,blue,46,2,4,3,16163.43,2171.93,48
711692508,1,54,F,2,doutorado,casado,menos que $40K,blue,47,3,3,4,1438.54,1154.13,22
717930483,1,37,M,2,mestrado,solteiro,$120K +,blue,25,3,0,3,5616.16,1564.36,31
715651833,1,65,M,1,na,solteiro,menos que $40K,blue,36,3,4,4,2351.21,1593.07,35
715517733,1,46,F,3,ensino medio,solteiro,menos que $40K,silver,39,1,4,0,13092.13,936.35,25
778693458,1,32,M,1,ensino medio,divorciado,$60K - $80K,blue,13,3,3,3,12616.57,1376.94,29
712551258,1,39,M,1,sem educacao formal,casado,menos que $40K,blue,36,3,3,3,4247.5,847.35,17
709564683,1,32,M,2,mestrado,casado,$40K - $60K,blue,22,3,5,3,4739.9,886.5,21
772292358,1,30,M,1,graduacao,divorciado,menos que $40K,blue,19,4,3,3,7970.94,1284.94,30
713021208,1,55,F,2,graduacao,solteiro,na,silver,36,2,3,3,34516.36,1353.03,40
713104458,1,46,M,2,mestrado,solteiro,$40K - $60K,blue,31,3,5,3,7869.97,998.77,25
715366083,1,52,F,0,doutorado,solteiro,menos que $40K,blue,36,2,3,2,1438.55,947.17,33
716244033,1,44,M,3,mestrado,casado,$40K - $60K,blue,33,2,3,3,7266.74,1741.64,27
787463508,1,26,M,0,mestrado,solteiro,menos que $40K,blue,13,5,4,2,2469.41,1027.24,20
778381608,1,48,M,4,doutorado,solteiro,$80K - $120K,blue,28,3,4,3,6572.78,1766.5,46
710586483,1,26,F,0,ensino medio,solteiro,na,blue,13,1,4,2,6152.78,968.62,23
709164408,1,32,M,1,sem educacao formal,casado,menos que $40K,blue,23,1,3,3,2218.01,730.5,20
709785783,1,35,F,0,mestrado,solteiro,menos que $40K,blue,25,5,4,3,2300.64,1485.39,34
720185058,1,46,M,3,mestrado,casado,$60K - $80K,blue,36,2,4,3,4267.09,1067.16,23
717813558,1,57,F,3,ensino medio,solteiro,na,blue,36,1,2,4,8389.36,1334.12,38
719470458,1,46,M,3,graduacao,solteiro,$80K - $120K,blue,39,1,3,4,4026.51,1102.59,27
715319958,1,48,M,3,sem educacao formal,casado,$120K +,blue,36,5,4,2,34516.76,1312.07,32
714412308,1,33,M,3,mestrado,casado,$80K - $120K,blue,36,6,5,3,7140.89,916.26,18
721243083,1,55,M,3,sem educacao formal,divorciado,$80K - $120K,blue,41,1,4,3,34516.43,1187.44,40
798022683,1,43,M,1,mestrado,casado,$80K - $120K,blue,37,4,3,2,25517.33,2508.47,44
716112933,1,39,F,3,mestrado,casado,na,blue,36,3,3,2,1575.2,644.06,15
789853533,1,54,M,3,ensino medio,casado,$40K - $60K,blue,44,2,5,1,3032.66,1037.94,14
806256333,1,41,M,4,mestrado,na,$60K - $80K,blue,36,2,5,3,1438.86,1786,26
719146008,1,48,M,3,mestrado,casado,$80K - $120K,blue,39,4,3,4,18672.71,1126.9,35
720693033,1,33,M,1,na,casado,$60K - $80K,blue,36,1,4,3,8925.37,741.56,10
712784058,1,45,F,2,ensino medio,divorciado,na,blue,36,6,3,4,17156.02,1142.3,33
789963033,1,54,F,1,mestrado,solteiro,menos que $40K,blue,45,3,5,5,1438.7,1603.17,39
827984658,1,49,M,3,doutorado,casado,$80K - $120K,blue,45,3,4,0,23870.99,1885.14,39
716331408,1,52,F,4,na,casado,menos que $40K,blue,36,1,5,4,2143.19,1353.98,36
710524533,1,38,F,4,graduacao,casado,$40K - $60K,blue,36,4,4,4,4913.98,899.46,28
709413933,1,56,M,2,ensino medio,solteiro,$40K - $60K,blue,40,2,4,6,2381.58,1920.71,46
714967233,1,52,M,2,doutorado,casado,$120K +,blue,34,3,3,2,11188.03,2109.49,47
787460883,1,41,M,3,sem educacao formal,casado,$40K - $60K,blue,28,3,4,3,11091.98,1234.42,34
709206333,1,44,F,4,mestrado,solteiro,$40K - $60K,blue,30,3,4,4,4333.34,1558.66,40
821149008,1,52,M,2,mestrado,solteiro,$80K - $120K,blue,48,6,4,2,34516.47,1661.37,40
772273983,1,48,M,4,sem educacao formal,solteiro,$40K - $60K,blue,37,1,4,3,5268.84,2138.96,40
719902908,1,51,M,3,na,casado,$80K - $120K,blue,36,3,3,3,5130.41,1434.26,31
709163358,1,41,M,5,na,solteiro,$60K - $80K,gold,32,2,4,3,34516.87,1727.41,35
708139833,1,40,M,3,mestrado,na,$60K - $80K,blue,30,4,3,2,6391.67,2323.68,44
827476983,1,56,F,2,graduacao,solteiro,menos que $40K,blue,52,3,1,5,3639.14,1865.33,42
708563433,1,65,F,0,ensino medio,solteiro,na,blue,56,3,3,6,5894.5,1616.72,32
738627708,1,49,F,2,na,solteiro,na,blue,41,5,4,3,5984.25,1838.16,42
771833433,1,49,M,2,ensino medio,casado,$80K - $120K,blue,38,3,4,2,29893.2,2063.84,48
828291858,1,38,M,3,graduacao,solteiro,$60K - $80K,blue,34,6,4,3,12050.56,2381.91,40
720725058,1,51,F,1,mestrado,solteiro,menos que $40K,blue,37,1,4,3,7176.29,1375.06,33
711935283,1,55,M,5,doutorado,solteiro,$80K - $120K,blue,47,3,4,1,1438.54,1427.26,36
716950758,1,46,M,4,ensino medio,casado,$60K - $80K,blue,36,1,2,3,8017.4,1657.08,43
715570533,1,48,M,3,doutorado,na,$120K +,blue,35,2,6,2,34516.5,1632.15,44
721532583,1,45,M,4,mestrado,casado,$80K - $120K,blue,36,5,4,3,12250.86,1995.11,39
712623258,1,42,F,3,mestrado,casado,menos que $40K,blue,36,2,3,3,5505.72,2272.73,42
720508233,1,62,M,0,na,solteiro,$40K - $60K,silver,42,3,4,4,17161.48,1898.36,42
716387733,1,49,M,4,mestrado,solteiro,$60K - $80K,blue,36,1,5,4,5662.39,1693.61,25
788739633,1,38,M,1,na,casado,$120K +,blue,16,3,4,1,2106.01,2136.37,40
720758808,1,38,M,3,graduacao,solteiro,$60K - $80K,blue,18,5,5,1,16317.48,1995.94,54
715858008,1,49,F,1,sem educacao formal,casado,$40K - $60K,blue,39,2,3,3,8061.54,1224.88,31
813053733,1,53,M,4,na,solteiro,$120K +,blue,48,3,4,3,34516.47,3029.7,49
720529308,1,63,M,0,ensino medio,solteiro,$60K - $80K,blue,48,5,1,3,1856.62,1805.63,46
710658483,1,47,M,4,mestrado,na,$40K - $60K,blue,34,2,6,3,9080.38,2098.15,46
710278458,1,52,M,2,ensino medio,solteiro,$80K - $120K,blue,43,4,3,3,11617.19,1643.28,43
811035483,1,47,M,3,sem educacao formal,divorciado,$120K +,silver,42,2,5,4,34516.71,1641.94,35
807593058,1,41,F,3,na,solteiro,$40K - $60K,blue,36,3,4,2,5317.83,2003.9,29
788030208,1,42,F,2,sem educacao formal,solteiro,menos que $40K,silver,33,1,3,2,13453.69,1904.87,42
720379533,1,47,M,3,na,na,$120K +,blue,36,1,4,3,3952.32,2066.07,37
720983733,1,44,M,3,na,solteiro,$60K - $80K,blue,36,2,3,3,15422.52,2136,54
719099583,1,42,M,3,mestrado,casado,$40K - $60K,blue,34,3,3,2,1640.36,1360.9,33
710654808,1,46,M,4,mestrado,solteiro,$80K - $120K,blue,36,3,4,1,1818.32,2308.92,44
711196458,1,38,F,1,na,casado,menos que $40K,blue,20,2,3,2,1621.14,1893.54,41
709224033,1,53,M,4,sem educacao formal,solteiro,$60K - $80K,blue,43,1,2,3,13720.73,1830.66,36
804673308,1,49,M,5,sem educacao formal,casado,$40K - $60K,blue,44,2,4,3,3893.38,1866.07,37
767784708,1,48,M,0,doutorado,casado,$60K - $80K,blue,41,2,4,3,7277.09,2356.44,40
716573058,1,54,F,3,doutorado,na,menos que $40K,blue,36,3,4,3,1438.31,1598.96,40
716977758,1,44,F,3,sem educacao formal,casado,menos que $40K,blue,36,2,1,3,3675.28,1913.87,35
817889583,1,61,F,0,mestrado,solteiro,$40K - $60K,blue,56,3,4,3,9721.51,2260.06,46
717242058,1,43,F,5,mestrado,casado,menos que $40K,blue,39,2,4,3,3981.7,2134.16,42
716306583,1,64,M,0,mestrado,solteiro,menos que $40K,blue,36,3,5,3,3812.88,2325.97,45
721233033,1,50,M,2,ensino medio,solteiro,$80K - $120K,blue,38,1,3,2,4915.48,1474.31,36
779502333,1,50,M,4,mestrado,solteiro,$120K +,silver,32,5,2,3,34516.84,1480.02,37
803124408,1,41,F,3,na,casado,na,blue,35,2,5,3,11538.43,1926.72,53
789964983,1,45,M,2,mestrado,divorciado,$40K - $60K,blue,36,2,4,2,9569.17,1724.72,35
709297608,1,38,M,3,graduacao,solteiro,$80K - $120K,blue,26,3,2,3,1438.95,1585.37,32
817977933,1,63,F,0,mestrado,solteiro,menos que $40K,blue,56,5,3,6,1931.7,2288.99,48
714629358,1,54,F,3,mestrado,divorciado,$40K - $60K,blue,34,2,4,3,4948.82,1796.51,41
711538758,1,39,M,5,mestrado,solteiro,$60K - $80K,blue,36,1,3,3,24657.38,1954.5,46
719987733,1,51,F,3,na,solteiro,$40K - $60K,blue,38,3,3,3,5026.52,1844.22,37
719657583,1,44,M,3,mestrado,casado,$40K - $60K,blue,40,2,6,2,9502.6,2310.89,57
789713208,1,62,F,0,doutorado,solteiro,menos que $40K,blue,50,6,5,3,2936.48,2692.77,29
715371108,1,45,M,3,mestrado,casado,$80K - $120K,blue,40,3,2,3,3728.9,1632.83,42
796903083,1,47,F,1,doutorado,casado,$40K - $60K,blue,36,2,2,3,1438.1,2584.66,42
772137183,1,52,M,2,mestrado,solteiro,$120K +,blue,41,1,1,3,31668.67,1822.35,36
821768658,1,52,M,0,na,solteiro,$120K +,blue,48,4,5,5,13114.7,2474.15,51
812449758,1,43,M,3,ensino medio,solteiro,$60K - $80K,blue,38,2,2,3,12254.92,2129.12,42
815085708,1,60,F,0,ensino medio,solteiro,$40K - $60K,blue,55,1,5,5,10882.26,1861.06,46
715485483,1,39,F,5,mestrado,casado,menos que $40K,blue,36,3,3,3,3664.08,1479.83,44
